51;AMD;Армянский драм;ЦБ Армении
100;ADA;Cardano;HitBtc
101;XLM;Stellar;Poloniex
103;BTG;Bitcoin Gold;HitBtc
104;TRX;TRON;HitBtc
105;OMG;OMG Network;HitBtc
106;WAV;WAVES;Yobit
107;XVG;Verge;HitBtc
108;ZRX;0x;HitBtc
109;BNB;Binance Coin;Binance
110;ICX;ICON;HitBtc
111;KMD;Komodo;HitBtc
156;CNY;Юань;Банка Китая
203;CZK;Чешская крона;Нацбанка Чехии
348;HUF;Форинт;Венгерского нацбанка
356;INR;Индийская рупия;Резервного банка Индии
360;IDR;Индонезийская рупия;Банка Индонезии
392;JPY;Японская иена;Банка Японии
398;KZT;Казахстанский тенге;Нацбанка Казахстана
417;KGS;Киргизский сом;Нацбанка Кыргызской Республики
458;MYR;Малайзийский ринггит;Банка Негара Малайзия
498;MDL;Молдавский лей;Нацбанка Молдовы
566;NGN;Нигерийская найра;ЦБ Нигерии
578;NOK;Норвежская крона;Норвежского банка
643;RUB;Российский рубль;Мосбиржи и ЦБ России
704;VND;Вьетнамский донг;Госбанка Вьетнама
752;SEK;Шведская крона;Банка Швеции
764;THB;Тайский бат;Банка Таиланда
784;AED;Дирхам ОАЭ;Центральный банк ОАЭ
826;GBP;Фунт стерлингов;ЦБ Англии
840;USD;Доллар США;рынка Forex
860;UZS;Узбекский сум;ЦБ Узбекистана
949;TRY;Турецкая лира;ЦБ Турецкой Республики
967;BTC;Bitcoin;BlockChain
974;BYN;Белорусский рубль;Нацбанка РБ
978;EUR;Евро;Европейского ЦБ
980;UAH;Гривна;Нацбанка Украины
981;GEL;Грузинский лари;Нацбанка Грузии
982;IOT;IOTA;Bitfinex
983;EOS;EOS;HitBtc
984;NEO;NEO;HitBtc
985;PLN;Польский злотый;Нацбанка Польши
986;XEM;NEM;HitBtc
987;BCH;Bitcoin BCH;HitBtc
988;ZEC;Zcash;Poloniex
989;XRP;Ripple;Poloniex
990;ETC;Ethereum Classic;Poloniex
991;XMR;Monero;Poloniex
992;DSH;Dash;Poloniex
993;ETH;Ethereum;Poloniex
995;BSV;Bitcoin SV;HitBtc
996;XDG;Dogecoin;YoBit
997;LTC;Litecoin;YoBit
998;WMX;WMX (0.001 BTC);BlockChain
1000;REP;Augur;Poloniex
1001;BTT;BitTorrent;HitBtc
1002;BAT;BAT;HitBtc
1003;ONT;Ontology;HitBtc
1004;QTM;QTUM;HitBtc
1005;LNK;Chainlink;HitBtc
1006;ATM;Cosmos;HitBtc
1007;XTZ;Tezos;HitBtc
1008;DOT;Polkadot;HitBtc
1009;UNI;Uniswap;HitBtc
1010;RVN;Ravencoin;Binance
1011;VET;VeChain;HitBtc
1012;SOL;Solana;HitBtc
1013;SHI;Shiba Inu;HitBtc
1014;MAT;Polygon;HitBtc
1015;MKR;Maker;HitBtc
1016;ALG;Algorand;HitBtc
1017;AVX;Avalanche;HitBtc
1018;LSK;Lisk;HitBtc
1019;YFI;Yearn.finance;HitBtc
